,Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
1274,BANTWALA,2020-01-03,COCA,AVERAGE,75.0,Quintal,8500.0,16500.0,15000.0,Dakshina Kannada
6298,PUTTUR,2020-01-03,NEW VARIETY,AVERAGE,195.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
8232,SULYA,2020-01-03,OLD VARIETY,AVERAGE,4.0,Quintal,24000.0,29500.0,25400.0,Dakshina Kannada
7742,PUTTUR,2020-01-03,OTHER,AVERAGE,4.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
8211,SULYA,2020-01-03,NEW VARIETY,AVERAGE,2.0,Quintal,17000.0,25000.0,19000.0,Dakshina Kannada
6274,PUTTUR,2020-01-03,COCA,AVERAGE,326.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
4451,MANGALURU,2020-01-04,OLD VARIETY,AVERAGE,10.0,Quintal,24000.0,29000.0,27000.0,Dakshina Kannada
6275,PUTTUR,2020-01-04,COCA,AVERAGE,675.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
4448,MANGALURU,2020-01-04,NEW VARIETY,AVERAGE,10.0,Quintal,20000.0,25500.0,22000.0,Dakshina Kannada
1323,BANTWALA,2020-01-04,OLD VARIETY,AVERAGE,20.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
4444,MANGALURU,2020-01-04,COCA,AVERAGE,131.0,Quintal,16000.0,23000.0,19000.0,Dakshina Kannada
6299,PUTTUR,2020-01-04,NEW VARIETY,AVERAGE,215.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
7743,PUTTUR,2020-01-04,OTHER,AVERAGE,4.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
8190,SULYA,2020-01-04,COCA,AVERAGE,30.0,Quintal,8500.0,17000.0,14500.0,Dakshina Kannada
5516,MANGALURU,2020-01-04,BLACK PEPPER,AVERAGE,5.0,Quintal,24500.0,30000.0,26000.0,Dakshina Kannada
8212,SULYA,2020-01-04,NEW VARIETY,AVERAGE,20.0,Quintal,17000.0,25000.0,20200.0,Dakshina Kannada
5272,MANGALURU,2020-01-04,GRADE- II,AVERAGE,500.0,Numbers,14000.0,18000.0,16000.0,Dakshina Kannada
5274,MANGALURU,2020-01-04,GRADE-I,AVERAGE,500.0,Numbers,16000.0,28000.0,22000.0,Dakshina Kannada
1275,BANTWALA,2020-01-04,COCA,AVERAGE,50.0,Quintal,8500.0,16500.0,15000.0,Dakshina Kannada
7366,PUTTUR,2020-01-04,GRADE- II,AVERAGE,21200.0,Numbers,7000.0,14000.0,10500.0,Dakshina Kannada
1299,BANTWALA,2020-01-04,NEW VARIETY,AVERAGE,30.0,Quintal,18000.0,24800.0,22000.0,Dakshina Kannada
8768,SULYA,2020-01-06,BLACK PEPPER,AVERAGE,47.0,Quintal,21500.0,31000.0,27000.0,Dakshina Kannada
8213,SULYA,2020-01-06,NEW VARIETY,AVERAGE,242.0,Quintal,22000.0,34000.0,24200.0,Dakshina Kannada
1276,BANTWALA,2020-01-06,COCA,AVERAGE,70.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
7744,PUTTUR,2020-01-06,OTHER,AVERAGE,8.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
3276,BELTHANGADI,2020-01-06,NEW VARIETY,AVERAGE,884.0,Quintal,28500.0,30000.0,29000.0,Dakshina Kannada
3305,BELTHANGADI,2020-01-06,OTHER,AVERAGE,20.0,Quintal,21000.0,24000.0,22000.0,Dakshina Kannada
6300,PUTTUR,2020-01-06,NEW VARIETY,AVERAGE,275.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
1324,BANTWALA,2020-01-06,OLD VARIETY,AVERAGE,30.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
8637,SULYA,2020-01-06,GRADE- II,AVERAGE,13900.0,Numbers,7000.0,16000.0,14000.0,Dakshina Kannada
1300,BANTWALA,2020-01-06,NEW VARIETY,AVERAGE,40.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
6276,PUTTUR,2020-01-06,COCA,AVERAGE,432.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
4867,MANGALURU,2020-01-06,COCA,AVERAGE,45.0,Quintal,16000.0,22500.0,18500.0,Dakshina Kannada
8191,SULYA,2020-01-06,COCA,AVERAGE,443.0,Quintal,10000.0,22000.0,19200.0,Dakshina Kannada
7371,PUTTUR,2020-01-06,GRADE-I,AVERAGE,25000.0,Numbers,7000.0,14000.0,10500.0,Dakshina Kannada
4831,MANGALURU,2020-01-07,COCA,AVERAGE,75.0,Quintal,18000.0,25000.0,22000.0,Dakshina Kannada
6277,PUTTUR,2020-01-07,COCA,AVERAGE,450.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
6301,PUTTUR,2020-01-07,NEW VARIETY,AVERAGE,278.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
7745,PUTTUR,2020-01-07,OTHER,AVERAGE,10.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
1277,BANTWALA,2020-01-07,COCA,AVERAGE,100.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
4284,BELTHANGADI,2020-01-07,OTHER,AVERAGE,4.0,Quintal,28000.0,28500.0,28200.0,Dakshina Kannada
1325,BANTWALA,2020-01-07,OLD VARIETY,AVERAGE,50.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
8192,SULYA,2020-01-07,COCA,AVERAGE,29.0,Quintal,8500.0,18500.0,16200.0,Dakshina Kannada
3144,BELTHANGADI,2020-01-07,NEW VARIETY,AVERAGE,11.0,Quintal,31900.0,32500.0,32000.0,Dakshina Kannada
8214,SULYA,2020-01-07,NEW VARIETY,AVERAGE,19.0,Quintal,18500.0,25000.0,20000.0,Dakshina Kannada
1301,BANTWALA,2020-01-07,NEW VARIETY,AVERAGE,60.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
6320,PUTTUR,2020-01-08,OLD VARIETY,AVERAGE,109.0,Quintal,16400.0,29500.0,22950.0,Dakshina Kannada
7746,PUTTUR,2020-01-08,OTHER,AVERAGE,21.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
8193,SULYA,2020-01-08,COCA,AVERAGE,46.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
8215,SULYA,2020-01-08,NEW VARIETY,AVERAGE,7.0,Quintal,18500.0,25000.0,20000.0,Dakshina Kannada
1302,BANTWALA,2020-01-08,NEW VARIETY,AVERAGE,80.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
2291,BANTWALA,2020-01-08,MEDIUM,AVERAGE,30000.0,Numbers,8000.0,16000.0,11000.0,Dakshina Kannada
7367,PUTTUR,2020-01-08,GRADE- II,AVERAGE,7385.0,Numbers,7000.0,14000.0,10500.0,Dakshina Kannada
1326,BANTWALA,2020-01-08,OLD VARIETY,AVERAGE,70.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
1278,BANTWALA,2020-01-08,COCA,AVERAGE,150.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
6302,PUTTUR,2020-01-08,NEW VARIETY,AVERAGE,270.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
8638,SULYA,2020-01-08,GRADE- II,AVERAGE,19872.0,Numbers,6000.0,14000.0,9500.0,Dakshina Kannada
6278,PUTTUR,2020-01-08,COCA,AVERAGE,476.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
1303,BANTWALA,2020-01-09,NEW VARIETY,AVERAGE,60.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
8194,SULYA,2020-01-09,COCA,AVERAGE,133.0,Quintal,8500.0,18500.0,17200.0,Dakshina Kannada
6303,PUTTUR,2020-01-09,NEW VARIETY,AVERAGE,270.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
1327,BANTWALA,2020-01-09,OLD VARIETY,AVERAGE,50.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
6321,PUTTUR,2020-01-09,OLD VARIETY,AVERAGE,109.0,Quintal,16400.0,29500.0,22950.0,Dakshina Kannada
7747,PUTTUR,2020-01-09,OTHER,AVERAGE,21.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
6279,PUTTUR,2020-01-09,COCA,AVERAGE,476.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
3742,BELTHANGADI,2020-01-09,NEW VARIETY,AVERAGE,134.0,Quintal,33000.0,34500.0,34000.0,Dakshina Kannada
7368,PUTTUR,2020-01-09,GRADE- II,AVERAGE,7385.0,Numbers,7000.0,14000.0,10500.0,Dakshina Kannada
4130,BELTHANGADI,2020-01-09,GRADE-I,AVERAGE,173000.0,Numbers,14000.0,15500.0,14500.0,Dakshina Kannada
5189,MANGALURU,2020-01-09,COCA,AVERAGE,175.0,Quintal,20000.0,28000.0,26000.0,Dakshina Kannada
1279,BANTWALA,2020-01-09,COCA,AVERAGE,110.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
8216,SULYA,2020-01-09,NEW VARIETY,AVERAGE,46.0,Quintal,18500.0,25000.0,19300.0,Dakshina Kannada
3858,BELTHANGADI,2020-01-09,NEW VARIETY,AVERAGE,134.0,Quintal,33000.0,34500.0,34000.0,Dakshina Kannada
1304,BANTWALA,2020-01-10,NEW VARIETY,AVERAGE,50.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
6280,PUTTUR,2020-01-10,COCA,AVERAGE,876.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
5139,MANGALURU,2020-01-10,NEW VARIETY,AVERAGE,100.0,Quintal,32000.0,35000.0,34500.0,Dakshina Kannada
1280,BANTWALA,2020-01-10,COCA,AVERAGE,80.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
1328,BANTWALA,2020-01-10,OLD VARIETY,AVERAGE,40.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
6304,PUTTUR,2020-01-10,NEW VARIETY,AVERAGE,279.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
8639,SULYA,2020-01-10,GRADE- II,AVERAGE,24334.0,Numbers,6000.0,14000.0,10000.0,Dakshina Kannada
5118,MANGALURU,2020-01-10,COCA,AVERAGE,100.0,Quintal,20000.0,27000.0,26000.0,Dakshina Kannada
7369,PUTTUR,2020-01-10,GRADE- II,AVERAGE,4600.0,Numbers,7000.0,14000.0,10500.0,Dakshina Kannada
8217,SULYA,2020-01-10,NEW VARIETY,AVERAGE,38.0,Quintal,18500.0,25000.0,20800.0,Dakshina Kannada
5157,MANGALURU,2020-01-10,OLD VARIETY,AVERAGE,100.0,Quintal,35000.0,39000.0,36500.0,Dakshina Kannada
8195,SULYA,2020-01-10,COCA,AVERAGE,549.0,Quintal,8500.0,18500.0,16100.0,Dakshina Kannada
7748,PUTTUR,2020-01-10,OTHER,AVERAGE,8.0,Quintal,21000.0,32000.0,26500.0,Dakshina Kannada
2689,BELTHANGADI,2020-01-12,NEW VARIETY,AVERAGE,445.0,Quintal,19000.0,33500.0,30000.0,Dakshina Kannada
2722,BELTHANGADI,2020-01-12,OTHER,AVERAGE,19.0,Quintal,18000.0,29500.0,21000.0,Dakshina Kannada
4534,MANGALURU,2020-01-12,COCA,AVERAGE,50.0,Quintal,16000.0,27000.0,26000.0,Dakshina Kannada
2676,BELTHANGADI,2020-01-12,COCA,AVERAGE,43.0,Quintal,16000.0,23000.0,20000.0,Dakshina Kannada
4000,BELTHANGADI,2020-01-12,GRADE-I,AVERAGE,70000.0,Numbers,10000.0,20000.0,15000.0,Dakshina Kannada
4191,BELTHANGADI,2020-01-12,OTHER,AVERAGE,1.0,Quintal,30000.0,34000.0,31000.0,Dakshina Kannada
2970,BELTHANGADI,2020-01-13,COCA,AVERAGE,2.0,Quintal,13000.0,14000.0,13500.0,Dakshina Kannada
4763,MANGALURU,2020-01-13,OLD VARIETY,AVERAGE,90.0,Quintal,25000.0,29800.0,28000.0,Dakshina Kannada
5399,MANGALURU,2020-01-13,GRADE-I,AVERAGE,1200.0,Numbers,16000.0,28000.0,25000.0,Dakshina Kannada
4034,BELTHANGADI,2020-01-13,GRADE-I,AVERAGE,13000.0,Numbers,13000.0,15500.0,14000.0,Dakshina Kannada
5375,MANGALURU,2020-01-13,GRADE- II,AVERAGE,1000.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
8196,SULYA,2020-01-13,COCA,AVERAGE,94.0,Quintal,8500.0,18500.0,17500.0,Dakshina Kannada
6281,PUTTUR,2020-01-13,COCA,AVERAGE,589.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
7749,PUTTUR,2020-01-13,OTHER,AVERAGE,8.0,Quintal,21000.0,31500.0,26250.0,Dakshina Kannada
4715,MANGALURU,2020-01-13,COCA,AVERAGE,110.0,Quintal,16000.0,21500.0,19000.0,Dakshina Kannada
1281,BANTWALA,2020-01-13,COCA,AVERAGE,75.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
2984,BELTHANGADI,2020-01-13,NEW VARIETY,AVERAGE,120.0,Quintal,24000.0,25500.0,24500.0,Dakshina Kannada
8233,SULYA,2020-01-13,OLD VARIETY,AVERAGE,323.0,Quintal,24000.0,29500.0,27000.0,Dakshina Kannada
1329,BANTWALA,2020-01-13,OLD VARIETY,AVERAGE,30.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
4739,MANGALURU,2020-01-13,NEW VARIETY,AVERAGE,90.0,Quintal,20000.0,24800.0,22000.0,Dakshina Kannada
8769,SULYA,2020-01-13,BLACK PEPPER,AVERAGE,3.0,Quintal,21000.0,31500.0,30000.0,Dakshina Kannada
5619,MANGALURU,2020-01-13,BLACK PEPPER,AVERAGE,35.0,Quintal,25000.0,31500.0,27000.0,Dakshina Kannada
1305,BANTWALA,2020-01-13,NEW VARIETY,AVERAGE,40.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
3010,BELTHANGADI,2020-01-13,OTHER,AVERAGE,110.0,Quintal,21000.0,22000.0,21500.0,Dakshina Kannada
8218,SULYA,2020-01-13,NEW VARIETY,AVERAGE,10.0,Quintal,18500.0,25000.0,19200.0,Dakshina Kannada
6305,PUTTUR,2020-01-13,NEW VARIETY,AVERAGE,189.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
5620,MANGALURU,2020-01-14,BLACK PEPPER,AVERAGE,40.0,Quintal,25000.0,31500.0,27000.0,Dakshina Kannada
7750,PUTTUR,2020-01-14,OTHER,AVERAGE,11.0,Quintal,21000.0,31500.0,26250.0,Dakshina Kannada
4764,MANGALURU,2020-01-14,OLD VARIETY,AVERAGE,90.0,Quintal,25000.0,29800.0,28000.0,Dakshina Kannada
4716,MANGALURU,2020-01-14,COCA,AVERAGE,110.0,Quintal,16000.0,21500.0,19000.0,Dakshina Kannada
4740,MANGALURU,2020-01-14,NEW VARIETY,AVERAGE,90.0,Quintal,20000.0,24800.0,22000.0,Dakshina Kannada
8197,SULYA,2020-01-14,COCA,AVERAGE,122.0,Quintal,8500.0,18500.0,15300.0,Dakshina Kannada
3011,BELTHANGADI,2020-01-14,OTHER,AVERAGE,12.0,Quintal,21000.0,22000.0,21500.0,Dakshina Kannada
4035,BELTHANGADI,2020-01-14,GRADE-I,AVERAGE,1583.0,Numbers,13000.0,15000.0,14000.0,Dakshina Kannada
2985,BELTHANGADI,2020-01-14,NEW VARIETY,AVERAGE,736.0,Quintal,24000.0,25000.0,24500.0,Dakshina Kannada
8234,SULYA,2020-01-14,OLD VARIETY,AVERAGE,11.0,Quintal,24000.0,29500.0,28100.0,Dakshina Kannada
1330,BANTWALA,2020-01-14,OLD VARIETY,AVERAGE,50.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
6306,PUTTUR,2020-01-14,NEW VARIETY,AVERAGE,130.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
1306,BANTWALA,2020-01-14,NEW VARIETY,AVERAGE,60.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
8219,SULYA,2020-01-14,NEW VARIETY,AVERAGE,8.0,Quintal,18500.0,25000.0,20000.0,Dakshina Kannada
1282,BANTWALA,2020-01-14,COCA,AVERAGE,95.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
5376,MANGALURU,2020-01-14,GRADE- II,AVERAGE,1000.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
3001,BELTHANGADI,2020-01-14,OLD VARIETY,AVERAGE,47.0,Quintal,28500.0,29300.0,29000.0,Dakshina Kannada
2971,BELTHANGADI,2020-01-14,COCA,AVERAGE,228.0,Quintal,13500.0,14500.0,14000.0,Dakshina Kannada
5400,MANGALURU,2020-01-14,GRADE-I,AVERAGE,1200.0,Numbers,16000.0,28000.0,25000.0,Dakshina Kannada
6282,PUTTUR,2020-01-14,COCA,AVERAGE,575.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
4251,BELTHANGADI,2020-01-14,OTHER,AVERAGE,27.0,Quintal,30000.0,32000.0,31000.0,Dakshina Kannada
3012,BELTHANGADI,2020-01-16,OTHER,AVERAGE,15.0,Quintal,21200.0,22000.0,21500.0,Dakshina Kannada
5401,MANGALURU,2020-01-16,GRADE-I,AVERAGE,1000.0,Numbers,16000.0,28000.0,25000.0,Dakshina Kannada
8220,SULYA,2020-01-16,NEW VARIETY,AVERAGE,21.0,Quintal,18500.0,25000.0,20000.0,Dakshina Kannada
4036,BELTHANGADI,2020-01-16,GRADE-I,AVERAGE,12520.0,Numbers,13500.0,15000.0,14200.0,Dakshina Kannada
4717,MANGALURU,2020-01-16,COCA,AVERAGE,110.0,Quintal,16000.0,21500.0,19000.0,Dakshina Kannada
1307,BANTWALA,2020-01-16,NEW VARIETY,AVERAGE,90.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
4765,MANGALURU,2020-01-16,OLD VARIETY,AVERAGE,90.0,Quintal,25000.0,29850.0,28000.0,Dakshina Kannada
1331,BANTWALA,2020-01-16,OLD VARIETY,AVERAGE,75.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
1283,BANTWALA,2020-01-16,COCA,AVERAGE,125.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
8198,SULYA,2020-01-16,COCA,AVERAGE,651.0,Quintal,8500.0,18500.0,15500.0,Dakshina Kannada
7751,PUTTUR,2020-01-16,OTHER,AVERAGE,8.0,Quintal,21000.0,31500.0,26250.0,Dakshina Kannada
5621,MANGALURU,2020-01-16,BLACK PEPPER,AVERAGE,40.0,Quintal,25000.0,31500.0,27000.0,Dakshina Kannada
6283,PUTTUR,2020-01-16,COCA,AVERAGE,585.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
2986,BELTHANGADI,2020-01-16,NEW VARIETY,AVERAGE,120.0,Quintal,24500.0,25800.0,25000.0,Dakshina Kannada
2972,BELTHANGADI,2020-01-16,COCA,AVERAGE,20.0,Quintal,13500.0,14000.0,13800.0,Dakshina Kannada
4741,MANGALURU,2020-01-16,NEW VARIETY,AVERAGE,85.0,Quintal,20000.0,24800.0,22000.0,Dakshina Kannada
5377,MANGALURU,2020-01-16,GRADE- II,AVERAGE,950.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
6307,PUTTUR,2020-01-16,NEW VARIETY,AVERAGE,190.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
8221,SULYA,2020-01-17,NEW VARIETY,AVERAGE,156.0,Quintal,18500.0,25000.0,20000.0,Dakshina Kannada
4742,MANGALURU,2020-01-17,NEW VARIETY,AVERAGE,100.0,Quintal,20000.0,24800.0,22000.0,Dakshina Kannada
6284,PUTTUR,2020-01-17,COCA,AVERAGE,778.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
1332,BANTWALA,2020-01-17,OLD VARIETY,AVERAGE,60.0,Quintal,24000.0,29500.0,28000.0,Dakshina Kannada
8199,SULYA,2020-01-17,COCA,AVERAGE,211.0,Quintal,8500.0,18500.0,17500.0,Dakshina Kannada
8640,SULYA,2020-01-17,GRADE- II,AVERAGE,25335.0,Numbers,6000.0,15000.0,14500.0,Dakshina Kannada
1308,BANTWALA,2020-01-17,NEW VARIETY,AVERAGE,70.0,Quintal,18500.0,25000.0,22500.0,Dakshina Kannada
1284,BANTWALA,2020-01-17,COCA,AVERAGE,90.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
4766,MANGALURU,2020-01-17,OLD VARIETY,AVERAGE,95.0,Quintal,25000.0,29800.0,28000.0,Dakshina Kannada
7752,PUTTUR,2020-01-17,OTHER,AVERAGE,7.0,Quintal,21000.0,31500.0,26250.0,Dakshina Kannada
6322,PUTTUR,2020-01-17,OLD VARIETY,AVERAGE,81.0,Quintal,16400.0,29500.0,22850.0,Dakshina Kannada
2292,BANTWALA,2020-01-17,MEDIUM,AVERAGE,25000.0,Numbers,8000.0,16000.0,11000.0,Dakshina Kannada
4718,MANGALURU,2020-01-17,COCA,AVERAGE,150.0,Quintal,16000.0,21500.0,19000.0,Dakshina Kannada
5622,MANGALURU,2020-01-17,BLACK PEPPER,AVERAGE,50.0,Quintal,25000.0,31500.0,27000.0,Dakshina Kannada
5378,MANGALURU,2020-01-17,GRADE- II,AVERAGE,800.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
2987,BELTHANGADI,2020-01-17,NEW VARIETY,AVERAGE,5.0,Quintal,24000.0,25000.0,24500.0,Dakshina Kannada
5402,MANGALURU,2020-01-17,GRADE-I,AVERAGE,750.0,Numbers,16000.0,28000.0,25000.0,Dakshina Kannada
6308,PUTTUR,2020-01-17,NEW VARIETY,AVERAGE,108.0,Quintal,15000.0,25000.0,20000.0,Dakshina Kannada
8200,SULYA,2020-01-18,COCA,AVERAGE,59.0,Quintal,8500.0,18500.0,18000.0,Dakshina Kannada
2988,BELTHANGADI,2020-01-18,NEW VARIETY,AVERAGE,130.0,Quintal,24000.0,25800.0,24200.0,Dakshina Kannada
1285,BANTWALA,2020-01-18,COCA,AVERAGE,70.0,Quintal,8500.0,18500.0,16000.0,Dakshina Kannada
6285,PUTTUR,2020-01-18,COCA,AVERAGE,485.0,Quintal,8000.0,16500.0,12250.0,Dakshina Kannada
4037,BELTHANGADI,2020-01-18,GRADE-I,AVERAGE,25000.0,Numbers,13000.0,15000.0,14500.0,Dakshina Kannada
4252,BELTHANGADI,2020-01-18,OTHER,AVERAGE,4.0,Quintal,30000.0,31000.0,30500.0,Dakshina Kannada
7753,PUTTUR,2020-01-18,OTHER,AVERAGE,5.0,Quintal,21000.0,31500.0,26250.0,Dakshina Kannada
5379,MANGALURU,2020-01-18,GRADE- II,AVERAGE,1000.0,Numbers,12000.0,16000.0,15000.0,Dakshina Kannada
8222,SULYA,2020-01-18,NEW VARIETY,AVERAGE,11.0,Quintal,18500.0,25000.0,19400.0,Dakshina Kannada
